Eviction ID,Address,Neighborhoods - Analysis Boundaries
M160469,300 Block Of Arballo  Drive,Lakeshore
M160509,300 Block Of Arballo  Drive,Lakeshore
M160298,700 Block Of Gonzalez  Drive,Lakeshore
M160332,700 Block Of Gonzalez  Drive,Lakeshore
M160483,300 Block Of Arballo  Drive,Lakeshore
M160412,700 Block Of Gonzalez  Drive,Lakeshore
M160472,300 Block Of Arballo  Drive,Lakeshore
M160475,300 Block Of Arballo  Drive,Lakeshore
M160341,700 Block Of Gonzalez  Drive,Lakeshore
M160391,700 Block Of Gonzalez  Drive,Lakeshore
M160500,300 Block Of Arballo  Drive,Lakeshore
M160362,700 Block Of Gonzalez  Drive,Lakeshore
M160349,700 Block Of Gonzalez  Drive,Lakeshore
M160346,700 Block Of Gonzalez  Drive,Lakeshore
M160383,700 Block Of Gonzalez  Drive,Lakeshore
M160479,300 Block Of Arballo  Drive,Lakeshore
M160409,700 Block Of Gonzalez  Drive,Lakeshore
M160415,700 Block Of Gonzalez  Drive,Lakeshore
M160331,700 Block Of Gonzalez  Drive,Lakeshore
M160485,300 Block Of Arballo  Drive,Lakeshore
M160480,300 Block Of Arballo  Drive,Lakeshore
M160330,700 Block Of Gonzalez  Drive,Lakeshore
M160435,300 Block Of Arballo  Drive,Lakeshore
M160497,300 Block Of Arballo  Drive,Lakeshore
M160379,700 Block Of Gonzalez  Drive,Lakeshore
M160516,300 Block Of Arballo  Drive,Lakeshore
M160449,300 Block Of Arballo  Drive,Lakeshore
M160369,700 Block Of Gonzalez  Drive,Lakeshore
M160297,700 Block Of Gonzalez  Drive,Lakeshore
M160296,700 Block Of Gonzalez  Drive,Lakeshore
M160382,700 Block Of Gonzalez  Drive,Lakeshore
M160515,300 Block Of Arballo  Drive,Lakeshore
M160404,700 Block Of Gonzalez  Drive,Lakeshore
M160522,300 Block Of Arballo  Drive,Lakeshore
M160370,700 Block Of Gonzalez  Drive,Lakeshore
M160441,300 Block Of Arballo  Drive,Lakeshore
M160335,700 Block Of Gonzalez  Drive,Lakeshore
M160442,300 Block Of Arballo  Drive,Lakeshore
M160403,700 Block Of Gonzalez  Drive,Lakeshore
M160302,700 Block Of Gonzalez  Drive,Lakeshore
M160377,700 Block Of Gonzalez  Drive,Lakeshore
M160329,700 Block Of Gonzalez  Drive,Lakeshore
M160320,700 Block Of Gonzalez  Drive,Lakeshore
M160392,700 Block Of Gonzalez  Drive,Lakeshore
M160259,600 Block Of Tennessee  Street,Potrero Hill
M160260,3000 Block Of Mission  Street,Mission
M160258,1200 Block Of Willard  Street,Inner Sunset
M160254,1300 Block Of Taylor  Street,Nob Hill
M160255,500 Block Of Cordova  Street,Excelsior
M160257,1200 Block Of Pine  Street,Nob Hill
M160256,1100 Block Of Mission  Street,South of Market
M160253,100 Block Of Cambon  Drive,Lakeshore
M160252,0 Block Of Edinburgh  Street,Excelsior
M160250,4500 Block Of Mission  Street,Outer Mission
M160213,2900 Block Of Pacific  Avenue,Pacific Heights
M160226,1800 Block Of Mcallister  Street,Lone Mountain/USF
M160228,2900 Block Of Washington  Street,Pacific Heights
M160204,300 Block Of South Van Ness  Avenue,Mission
M160555,3400 Block Of 21st  Street,Mission
M160201,700 Block Of Monterey  Boulevard,West of Twin Peaks
M160225,1300 Block Of Palou  Avenue,Bayview Hunters Point
M160202,1200 Block Of Grant  Avenue,North Beach
M160200,3200 Block Of 21st  Street,Mission
M160199,4000 Block Of 18th  Street,Castro/Upper Market
M160195,1300 Block Of Market  Street,Tenderloin
M160194,0 Block Of Gerke  Alley,North Beach
M160197,1300 Block Of Market  Street,Tenderloin
M160198,1300 Block Of Market  Street,Tenderloin
M160196,1300 Block Of Market  Street,Tenderloin
M160193,2000 Block Of Ocean  Avenue,West of Twin Peaks
M160185,100 Block Of Leland  Avenue,Visitacion Valley
M160188,300 Block Of Laguna  Street,Hayes Valley
M160189,1800 Block Of Filbert  Street,Marina
M160186,100 Block Of Leland  Avenue,Visitacion Valley
M160223,1800 Block Of 44th  Avenue,Sunset/Parkside
M160184,1600 Block Of Church  Street,Noe Valley
M160183,100 Block Of Cambon  Drive,Lakeshore
M160148,900 Block Of Alabama  Street,Mission
M160224,0 Block Of Onondaga  Avenue,Outer Mission
M160187,1600 Block Of Revere  Avenue,Bayview Hunters Point
M160182,2500 Block Of Moraga  Street,Sunset/Parkside
M160145,100 Block Of Raymond  Avenue,Visitacion Valley
M160178,1500 Block Of Gough  Street,Western Addition
M160177,1100 Block Of Mission  Street,South of Market
M160179,2200 Block Of Union  Street,Marina
M160147,2100 Block Of 41st  Avenue,Sunset/Parkside
M160180,5300 Block Of Diamond Heights  Boulevard,Noe Valley
M160181,5300 Block Of Diamond Heights  Boulevard,Noe Valley
M160136,500 Block Of 29th  Avenue,Outer Richmond
M160143,200 Block Of Vienna  Street,Excelsior
M160144,200 Block Of Flournoy  Street,Outer Mission
M160146,100 Block Of Raymond  Avenue,Visitacion Valley
M160132,200 Block Of Munich  Street,Excelsior
M160133,2300 Block Of North Point  Street,Marina
M160130,1200 Block Of Vermont  Street,Mission
M160142,100 Block Of Nueva  Avenue,Bayview Hunters Point
M160217,700 Block Of 20th  Avenue,Outer Richmond
M160135,900 Block Of Franklin  Street,Western Addition
M160131,100 Block Of Seneca  Avenue,Outer Mission
M160134,1600 Block Of Filbert  Street,Marina
M160216,700 Block Of 20th  Avenue,Outer Richmond
M160127,500 Block Of Ellis  Street,Tenderloin
M160167,100 Block Of 8th  Street,South of Market
M160128,100 Block Of Trenton  Street,Chinatown
M160129,1200 Block Of Hollister  Avenue,Bayview Hunters Point
M160215,100 Block Of Stanyan  Street,
M160214,100 Block Of Stanyan  Street,
M160126,100 Block Of Mcallister  Street,Tenderloin
M160118,100 Block Of Haight  Street,Hayes Valley
M160117,1000 Block Of Geary  Street,Tenderloin
M160122,800 Block Of Vallejo  Street,Chinatown
M160120,200 Block Of Central  Avenue,Haight Ashbury
M160125,800 Block Of Vallejo  Street,Chinatown
M160119,200 Block Of Grand View  Avenue,Noe Valley
M160124,800 Block Of Vallejo  Street,Chinatown
M160123,800 Block Of Vallejo  Street,Chinatown
M160121,800 Block Of Vallejo  Street,Chinatown
M160140,100 Block Of Niagara  Avenue,Outer Mission
M160141,600 Block Of 28th  Avenue,Outer Richmond
M160116,500 Block Of Baker  Street,Lone Mountain/USF
M160139,1400 Block Of 29th  Avenue,Sunset/Parkside
M160111,600 Block Of Silver  Avenue,Excelsior
M160112,2400 Block Of Washington  Street,Pacific Heights
M160154,2200 Block Of 37th  Avenue,Sunset/Parkside
M160138,1900 Block Of Ellis  Street,Western Addition
M160114,1500 Block Of Mcallister  Street,Western Addition
M160113,500 Block Of Guerrero  Street,Mission
M160115,500 Block Of Guerrero  Street,Mission
M160110,500 Block Of 40th  Avenue,Outer Richmond
M160105,2600 Block Of San Jose  Avenue,Oceanview/Merced/Ingleside
M160106,0 Block Of Higuera  Avenue,Lakeshore
M160107,100 Block Of Font  Boulevard,Lakeshore
M160068,700 Block Of Oak  Street,Hayes Valley
M160109,1900 Block Of Greenwich  Street,Marina
M160108,100 Block Of Tapia  Drive,Lakeshore
M160104,500 Block Of 29th  Avenue,Outer Richmond
M160103,1000 Block Of Pacific  Avenue,Nob Hill
M160102,1500 Block Of Greenwich  Street,Marina
M160055,1000 Block Of Capp  Street,Mission
M160067,600 Block Of Waller  Street,Haight Ashbury
M160054,1000 Block Of Mission  Street,South of Market
M160052,700 Block Of North Point  Street,Russian Hill
M160051,2300 Block Of Bay  Street,Marina
M160053,0 Block Of 12th  Street,Mission
M160046,2200 Block Of Kirkham  Street,Sunset/Parkside
M160045,200 Block Of Turk  Street,Tenderloin
M160050,100 Block Of Peabody  Street,Visitacion Valley
M160049,1200 Block Of Vermont  Street,Mission
M160047,2200 Block Of Kirkham  Street,Sunset/Parkside
M160048,400 Block Of 7th  Avenue,Inner Richmond
M160043,800 Block Of Broderick  Street,Western Addition
M160042,500 Block Of 29th  Avenue,Outer Richmond
M160044,400 Block Of Pierce  Street,Hayes Valley
M160066,1900 Block Of 14th  Avenue,Inner Sunset
M160041,1100 Block Of Pine  Street,Nob Hill
M160064,1800 Block Of Noriega  Street,Sunset/Parkside
M160065,3000 Block Of Rivera  Street,Sunset/Parkside
M160061,2000 Block Of Golden Gate  Avenue,Lone Mountain/USF
M160063,100 Block Of Steiner  Street,Haight Ashbury
M160040,200 Block Of 10th  Avenue,Inner Richmond
M160038,0 Block Of Leo  Street,Outer Mission
M160037,900 Block Of Potrero  Avenue,Potrero Hill
M160039,1500 Block Of Bay  Street,Marina
M160036,1300 Block Of Haight  Street,Haight Ashbury
M160062,100 Block Of Steiner  Street,Haight Ashbury
M160083,600 Block Of 4th  Avenue,Inner Richmond
M160091,600 Block Of Clement  Street,Inner Richmond
M160077,2800 Block Of 21st  Street,Mission
M160035,1500 Block Of Bay  Street,Marina
M160076,2800 Block Of 21st  Street,Mission
M160084,600 Block Of 4th  Avenue,Inner Richmond
M160082,600 Block Of 4th  Avenue,Inner Richmond
M160075,2800 Block Of 21st  Street,Mission
M160085,600 Block Of 4th  Avenue,Inner Richmond
M160034,2400 Block Of 19th  Avenue,West of Twin Peaks
M160060,700 Block Of 29th  Avenue,Outer Richmond
M160033,2400 Block Of 19th  Avenue,West of Twin Peaks
M160002,0 Block Of Edinburgh  Street,Excelsior
M160003,300 Block Of Moultrie  Street,Bernal Heights
M160001,1700 Block Of Oakdale  Avenue,Bayview Hunters Point
M153492,2400 Block Of Washington  Street,Pacific Heights
M153491,0 Block Of Carmelita  Street,Haight Ashbury
M153438,100 Block Of Elmira  Street,Bayview Hunters Point
M153490,2700 Block Of Folsom  Street,Mission
M153487,300 Block Of San Benito  Way,West of Twin Peaks
M153489,1400 Block Of Newcomb  Avenue,Bayview Hunters Point
M153488,0 Block Of Morningside  Drive,Sunset/Parkside
M153486,0 Block Of Raymond  Avenue,Visitacion Valley
M153437,1700 Block Of 9th  Avenue,Inner Sunset
M153485,2400 Block Of Green  Street,Marina
M153483,1700 Block Of Cayuga  Avenue,Outer Mission
M153482,1100 Block Of Naples  Street,Excelsior
M153436,1300 Block Of Bayshore  Boulevard,Bayview Hunters Point
M153469,0 Block Of Morningside  Drive,Sunset/Parkside
M153435,1800 Block Of Mcallister  Street,Lone Mountain/USF
M153433,800 Block Of Brunswick  Street,
M153434,100 Block Of Tucker  Avenue,Visitacion Valley
M153468,1100 Block Of Naples  Street,Excelsior
M153467,300 Block Of Eddy  Street,Tenderloin
M153479,600 Block Of Clement  Street,Inner Richmond
M153450,400 Block Of Amazon  Avenue,Excelsior
M153452,500 Block Of 26th  Avenue,Outer Richmond
M153453,500 Block Of 26th  Avenue,Outer Richmond
M153444,3600 Block Of Fillmore  Street,Marina
M153451,1700 Block Of Cayuga  Avenue,Outer Mission
M153447,500 Block Of 5th  Avenue,Inner Richmond
M153445,900 Block Of Valencia  Street,Mission
M153449,100 Block Of Clifford  Terrace,Haight Ashbury
M153426,100 Block Of Chattanooga  Street,Noe Valley
M153431,0 Block Of Ottawa  Avenue,Outer Mission
M153448,1000 Block Of Filbert  Street,Russian Hill
M153427,1200 Block Of 6th  Avenue,Inner Sunset
M153446,300 Block Of Capp  Street,Mission
M153432,600 Block Of Commercial  Street,Chinatown
M153441,1200 Block Of 34th  Avenue,Sunset/Parkside
M153418,2300 Block Of Chestnut  Street,Marina
M153421,500 Block Of Capp  Street,Mission
M153442,1200 Block Of 34th  Avenue,Sunset/Parkside
M153424,200 Block Of College  Avenue,Bernal Heights
M153419,300 Block Of Moultrie  Street,Bernal Heights
M153423,900 Block Of Valencia  Street,Mission
M153422,3100 Block Of 24th  Street,Mission
M153420,0 Block Of Hill  Street,Mission
M153416,800 Block Of Laguna Honda  Boulevard,West of Twin Peaks
M153430,100 Block Of Naples  Street,Excelsior
M153414,700 Block Of Delano  Avenue,Outer Mission
M153415,800 Block Of Laguna Honda  Boulevard,West of Twin Peaks
M153417,1600 Block Of 22nd  Avenue,Sunset/Parkside
M153411,300 Block Of Serrano  Drive,Lakeshore
M153407,100 Block Of Gonzalez  Drive,Lakeshore
M153409,100 Block Of Crespi  Drive,Lakeshore
M153378,100 Block Of Rolph  Street,Excelsior
M153406,200 Block Of Bank  Street,
M153377,2600 Block Of Polk  Street,Russian Hill
M153410,0 Block Of Fuente  Avenue,Lakeshore
M153412,600 Block Of Gonzalez  Drive,Lakeshore
M153408,100 Block Of Tapia  Drive,Lakeshore
M153413,2200 Block Of Union  Street,Marina
M153375,0 Block Of Glendale  Street,Twin Peaks
M153376,3000 Block Of California  Street,Pacific Heights
M153373,1700 Block Of 45th  Avenue,Sunset/Parkside
M153372,1600 Block Of Quesada  Avenue,Bayview Hunters Point
M153369,3100 Block Of 24th  Street,Mission
M153439,700 Block Of 15th  Avenue,Outer Richmond
M153370,1600 Block Of 22nd  Avenue,Sunset/Parkside
M153428,200 Block Of Victoria  Street,Oceanview/Merced/Ingleside
M153371,2400 Block Of Bryant  Street,Mission
M153429,100 Block Of Raymond  Avenue,Visitacion Valley
M153374,2800 Block Of 26th  Street,Mission
M153341,1300 Block Of Lake  Street,Seacliff
M153365,1500 Block Of 12th  Avenue,Inner Sunset
M153342,2200 Block Of Cayuga  Avenue,Outer Mission
M153340,0 Block Of Montezuma  Street,Bernal Heights
M153366,800 Block Of Geary  Street,Tenderloin
M153367,0 Block Of Taylor  Street,Tenderloin
M153368,3300 Block Of Octavia  Street,Marina
M153343,1200 Block Of Sanchez  Street,Noe Valley
M153339,900 Block Of Alabama  Street,Mission
M153363,300 Block Of 30th  Avenue,Outer Richmond
M153362,2000 Block Of Mission  Street,Mission
M153364,200 Block Of 9th  Avenue,Inner Richmond
M153357,200 Block Of Berry  Street,Mission Bay
M153356,200 Block Of Berry  Street,Mission Bay
M153336,200 Block Of Waterville  Street,Bayview Hunters Point
M153359,0 Block Of Nebraska  Street,Bernal Heights
M153338,600 Block Of Capp  Street,Mission
M153360,2000 Block Of Mission  Street,Mission
M153358,200 Block Of 9th  Street,South of Market
M153337,900 Block Of Alabama  Street,Mission
M153361,2000 Block Of Mission  Street,Mission
M153335,400 Block Of Girard  Street,Portola
M153355,0 Block Of Edinburgh  Street,Excelsior
M153354,0 Block Of Lundys  Lane,Bernal Heights
M153334,700 Block Of Grove  Street,Hayes Valley
M153333,2400 Block Of 43rd  Avenue,Sunset/Parkside
M153348,1500 Block Of Geneva  Avenue,Excelsior
M153353,0 Block Of Polk  Street,Tenderloin
M153352,0 Block Of Glendale  Street,Twin Peaks
M153351,100 Block Of Girard  Street,Portola
M153332,2400 Block Of California  Street,Pacific Heights
M153389,100 Block Of San Carlos  Street,Mission
M153349,4500 Block Of California  Street,Inner Richmond
M153347,1300 Block Of Kansas  Street,Potrero Hill
M153350,1300 Block Of 11th  Avenue,Inner Sunset
M153298,300 Block Of San Benito  Way,West of Twin Peaks
M153346,0 Block Of Polk  Street,Tenderloin
M153241,900 Block Of Guerrero  Street,Mission
M153388,100 Block Of San Carlos  Street,Mission
M153242,200 Block Of Montana  Street,Oceanview/Merced/Ingleside
M153297,1200 Block Of Hollister  Avenue,Bayview Hunters Point
M153331,200 Block Of Joost  Avenue,West of Twin Peaks
M153243,0 Block Of Montezuma  Street,Bernal Heights
M153330,1100 Block Of Broderick  Street,Western Addition
M153240,2000 Block Of Broadway  Street,
M153239,0 Block Of Iris  Avenue,Presidio Heights
M153328,100 Block Of Noriega  Street,Inner Sunset
M153289,200 Block Of San Carlos  Street,Mission
M153329,100 Block Of Noriega  Street,Inner Sunset
M153290,1500 Block Of Newhall  Street,Bayview Hunters Point
M153238,3100 Block Of Washington  Street,Pacific Heights
M153274,1300 Block Of Stockton  Street,Chinatown
M153286,800 Block Of Dartmouth  Street,Portola
M153288,1200 Block Of Filbert  Street,Russian Hill
M153285,200 Block Of Clinton  Park,Mission
M153272,200 Block Of Dolores  Street,Castro/Upper Market
M153276,300 Block Of Ellis  Street,Tenderloin
M153280,2800 Block Of Washington  Street,Pacific Heights
M153284,1300 Block Of Market  Street,Tenderloin
M153273,1500 Block Of 38th  Avenue,Sunset/Parkside
M153287,2900 Block Of Clay  Street,Pacific Heights
M153237,2400 Block Of California  Street,Pacific Heights
M153278,200 Block Of Rome  Street,Outer Mission
M153277,1900 Block Of Vallejo  Street,Marina
M153281,400 Block Of 20th  Avenue,Outer Richmond
M153275,2000 Block Of Broadway  Street,
M153283,600 Block Of 32nd  Avenue,Outer Richmond
M153282,0 Block Of Allison  Street,Excelsior
M153327,3300 Block Of 20th  Street,Mission
M153279,0 Block Of Allison  Street,Excelsior
M153236,200 Block Of Waterville  Street,Bayview Hunters Point
M153306,1800 Block Of 15th  Street,Mission
M153269,2200 Block Of Pacific  Avenue,Pacific Heights
M153267,300 Block Of Turk  Street,Tenderloin
M153266,100 Block Of Cambon  Drive,Lakeshore
M153268,0 Block Of Coso  Avenue,Bernal Heights
M153265,1600 Block Of Chestnut  Street,Marina
M153226,2500 Block Of Octavia  Street,Pacific Heights
M153227,400 Block Of Buchanan  Street,Hayes Valley
M153228,500 Block Of Head  Street,Oceanview/Merced/Ingleside
M153223,1600 Block Of Grove  Street,Lone Mountain/USF
M153172,100 Block Of Capistrano  Avenue,Outer Mission
M153319,1200 Block Of Vallejo  Street,Russian Hill
M153233,100 Block Of Capistrano  Avenue,Outer Mission
M153220,1500 Block Of Kirkwood  Avenue,Bayview Hunters Point
M153318,1200 Block Of Vallejo  Street,Russian Hill
M153219,400 Block Of 4th  Avenue,Inner Richmond
M153170,1800 Block Of 20th  Avenue,Sunset/Parkside
M153235,600 Block Of Precita  Avenue,Bernal Heights
M153222,1900 Block Of 20th  Avenue,Sunset/Parkside
M153234,0 Block Of Navajo  Avenue,Outer Mission
M153305,300 Block Of Silver  Avenue,Excelsior
M153224,4000 Block Of 19th  Street,Castro/Upper Market
M153221,0 Block Of Taylor  Street,Tenderloin
M153225,1600 Block Of 9th  Avenue,Inner Sunset
M153171,300 Block Of Oxford  Street,Excelsior
M153211,1500 Block Of Van Dyke  Avenue,Bayview Hunters Point
M153212,1800 Block Of Jackson  Street,Pacific Heights
M153210,2800 Block Of California  Street,Pacific Heights
M153169,1900 Block Of Page  Street,Haight Ashbury
M153213,1700 Block Of Van Ness  Avenue,Pacific Heights
M153209,300 Block Of Ellis  Street,Tenderloin
M153167,0 Block Of Moneta  Way,Outer Mission
M153250,100 Block Of 23rd  Avenue,Outer Richmond
M153251,100 Block Of 23rd  Avenue,Outer Richmond
M153168,200 Block Of Funston  Avenue,Inner Richmond
M153249,100 Block Of 23rd  Avenue,Outer Richmond
M153163,500 Block Of Geary  Street,Tenderloin
M153164,2300 Block Of 20th  Avenue,Sunset/Parkside
M153208,2000 Block Of Market  Street,Castro/Upper Market
M153166,200 Block Of Prague  Street,Excelsior
M153161,2500 Block Of Moraga  Street,Sunset/Parkside
M153162,1300 Block Of Market  Street,Tenderloin
M153153,200 Block Of Garces  Drive,Lakeshore
M153150,900 Block Of Steiner  Street,Western Addition
M153148,0 Block Of Pearl  Street,Mission
M153155,0 Block Of Josepha  Avenue,Lakeshore
M153152,100 Block Of Van Ness  Avenue,Tenderloin
M153151,300 Block Of Ellis  Street,Tenderloin
M153149,0 Block Of Robblee  Avenue,Bayview Hunters Point
M153177,100 Block Of San Carlos  Street,Mission
M153165,0 Block Of Iris  Avenue,Presidio Heights
M153178,100 Block Of San Carlos  Street,Mission
M153154,600 Block Of Gonzalez  Drive,Lakeshore
M153142,600 Block Of Jones  Street,Tenderloin
M153120,100 Block Of Parker  Avenue,Presidio Heights
M153144,100 Block Of 19th  Avenue,Outer Richmond
M153145,1300 Block Of Pacific  Avenue,Russian Hill
M153143,2200 Block Of Lake  Street,Outer Richmond
M153146,800 Block Of Pine  Street,Nob Hill
M153147,4600 Block Of California  Street,Inner Richmond
M153130,1000 Block Of Vicente  Street,Sunset/Parkside
M153119,1400 Block Of 47th  Avenue,Sunset/Parkside
M153131,1000 Block Of Vicente  Street,Sunset/Parkside
M153140,3700 Block Of Cesar Chavez  Street,Noe Valley
M153138,400 Block Of Shotwell  Street,Mission
M153108,200 Block Of Dolores  Street,Castro/Upper Market
M153107,400 Block Of Arguello  Boulevard,Presidio Heights
M153109,1000 Block Of Hollister  Avenue,Bayview Hunters Point
M153136,7500 Block Of Geary  Boulevard,Outer Richmond
M153103,0 Block Of 28th  Street,Noe Valley
M153141,3700 Block Of Cesar Chavez  Street,Noe Valley
M153104,200 Block Of Hyde  Street,Tenderloin
M153132,1000 Block Of Vicente  Street,Sunset/Parkside
M153137,500 Block Of Octavia  Street,Hayes Valley
M153106,1900 Block Of 20th  Avenue,Sunset/Parkside
M153105,300 Block Of Stanyan  Street,Lone Mountain/USF
M153118,5000 Block Of Mission  Street,Outer Mission
M153139,100 Block Of Apollo  Street,Bayview Hunters Point
M153115,100 Block Of Marietta  Drive,West of Twin Peaks
M153117,300 Block Of Elliot  Street,Visitacion Valley
M153116,3900 Block Of 25th  Street,Noe Valley
M153096,400 Block Of Oak  Street,Hayes Valley
M153099,7500 Block Of Geary  Boulevard,Outer Richmond
M153097,400 Block Of Oak  Street,Hayes Valley
M153098,1300 Block Of Market  Street,Tenderloin
M153095,400 Block Of Naples  Street,Excelsior
M153114,400 Block Of 28th  Avenue,Outer Richmond
M153089,900 Block Of Shotwell  Street,Mission
M153112,700 Block Of San Jose  Avenue,Bernal Heights
M153094,3800 Block Of 17th  Street,Castro/Upper Market
M153113,2100 Block Of Mason  Street,North Beach
M153090,900 Block Of Shotwell  Street,Mission
M153093,1200 Block Of Sunnyside  Avenue,
M153092,1100 Block Of Mission  Street,South of Market
M153087,1300 Block Of La Playa  Street,
M153088,1300 Block Of La Playa  Street,
M153091,200 Block Of Niagara  Avenue,Outer Mission
M153051,2000 Block Of Broadway  Street,
M153111,0 Block Of Ottawa  Avenue,Outer Mission
M153045,2200 Block Of Market  Street,Castro/Upper Market
M153069,1900 Block Of Ellis  Street,Western Addition
M153047,3800 Block Of 17th  Street,Castro/Upper Market
M152982,400 Block Of Filbert  Street,North Beach
M153052,600 Block Of San Jose  Avenue,Bernal Heights
M153044,2200 Block Of Market  Street,Castro/Upper Market
M153046,3800 Block Of 17th  Street,Castro/Upper Market
M153050,0 Block Of Liberty  Street,Mission
M153071,1900 Block Of Ellis  Street,Western Addition
M153049,600 Block Of Geary  Street,Tenderloin
M153048,300 Block Of Turk  Street,Tenderloin
M153110,1500 Block Of Mckinnon  Avenue,Bayview Hunters Point
M153070,1900 Block Of Ellis  Street,Western Addition
M153043,1900 Block Of 19th  Avenue,Inner Sunset
M153042,600 Block Of Mississippi  Street,Potrero Hill
M152981,1700 Block Of 15th  Street,Mission
M153041,600 Block Of Mississippi  Street,Potrero Hill
M153039,3800 Block Of 19th  Street,Castro/Upper Market
M153038,3800 Block Of 19th  Street,Castro/Upper Market
M153040,3800 Block Of 19th  Street,Castro/Upper Market
M153031,200 Block Of 9th  Street,South of Market
M153034,1800 Block Of Sacramento  Street,Pacific Heights
M153037,600 Block Of 33rd  Avenue,Outer Richmond
M153029,1800 Block Of Hyde  Street,Russian Hill
M153035,1000 Block Of Pine  Street,Nob Hill
M153030,500 Block Of Geary  Street,Tenderloin
M153032,1500 Block Of Wayland  Street,Portola
M153036,0 Block Of Parsons  Street,Lone Mountain/USF
M153033,100 Block Of Concord  Street,Excelsior
M153026,500 Block Of Leavenworth  Street,Tenderloin
M153027,2300 Block Of Folsom  Street,Mission
M153028,2000 Block Of Folsom  Street,Mission
M153021,400 Block Of Fell  Street,Hayes Valley
M153024,1100 Block Of Mission  Street,South of Market
M153020,1200 Block Of 25th  Avenue,Sunset/Parkside
M153019,1600 Block Of Market  Street,Mission
M153012,2400 Block Of Washington  Street,Pacific Heights
M153018,1000 Block Of Post  Street,Tenderloin
M153014,2100 Block Of 32nd  Avenue,Sunset/Parkside
M153016,300 Block Of Ellis  Street,Tenderloin
M153023,2200 Block Of Beach  Street,Marina
M153017,2200 Block Of Union  Street,Marina
M153011,2400 Block Of Polk  Street,Russian Hill
M152979,400 Block Of 3rd  Avenue,Inner Richmond
M152888,1800 Block Of Grove  Street,Lone Mountain/USF
M153013,2100 Block Of 32nd  Avenue,Sunset/Parkside
M153022,1100 Block Of Ocean  Avenue,West of Twin Peaks
M153015,1000 Block Of Post  Street,Nob Hill
M153025,1100 Block Of Mission  Street,South of Market
M152980,0 Block Of Milton  Street,Outer Mission
M152978,1300 Block Of 19th  Avenue,Sunset/Parkside
M152963,1200 Block Of Lane  Street,Bayview Hunters Point
M152966,200 Block Of Green  Street,North Beach
M152967,200 Block Of Green  Street,North Beach
M152886,900 Block Of Alabama  Street,Mission
M152968,300 Block Of Moultrie  Street,Bernal Heights
M152970,100 Block Of Dublin  Street,Excelsior
M152975,2500 Block Of 34th  Avenue,Sunset/Parkside
M152977,1300 Block Of Clement  Street,Outer Richmond
M152965,200 Block Of Green  Street,North Beach
M152976,1300 Block Of Clement  Street,Outer Richmond
M152969,1300 Block Of 48th  Avenue,Sunset/Parkside
M152961,1800 Block Of Franklin  Street,Pacific Heights
M152964,200 Block Of Green  Street,North Beach
M152962,2000 Block Of 29th  Avenue,Sunset/Parkside
M152960,300 Block Of Bosworth  Street,Outer Mission
M152959,800 Block Of 24th  Avenue,Outer Richmond
M152883,600 Block Of 29th  Avenue,Outer Richmond
M152954,500 Block Of 26th  Avenue,Outer Richmond
M152984,500 Block Of 11th  Avenue,Inner Richmond
M152983,500 Block Of 11th  Avenue,Inner Richmond
M152985,500 Block Of 11th  Avenue,Inner Richmond
M152953,1300 Block Of Page  Street,Haight Ashbury
M152986,500 Block Of 11th  Avenue,Inner Richmond
M152955,500 Block Of 26th  Avenue,Outer Richmond
M152956,200 Block Of Rome  Street,Outer Mission
M152945,1300 Block Of Market  Street,Tenderloin
M152946,1300 Block Of Market  Street,Tenderloin
M152942,2600 Block Of Webster  Street,Pacific Heights
M152944,1300 Block Of Market  Street,Tenderloin
M152943,200 Block Of Sanchez  Street,Castro/Upper Market
M152929,0 Block Of Shotwell  Street,Mission
M152931,2900 Block Of Harrison  Street,Mission
M152928,1700 Block Of Oakdale  Avenue,Bayview Hunters Point
M152933,0 Block Of Manchester  Street,Bernal Heights
M152936,1300 Block Of Market  Street,Tenderloin
M152884,600 Block Of 28th  Avenue,Outer Richmond
M152935,1300 Block Of Market  Street,Tenderloin
M152882,1600 Block Of 33rd  Avenue,Sunset/Parkside
M152941,3500 Block Of Taraval  Street,Sunset/Parkside
M152887,200 Block Of Monterey  Boulevard,West of Twin Peaks
M152939,1700 Block Of 45th  Avenue,Sunset/Parkside
M152940,200 Block Of Ocean  Avenue,Outer Mission
M152937,1300 Block Of Market  Street,Tenderloin
M152930,0 Block Of Shotwell  Street,Mission
M152938,100 Block Of Julian  Street,
M153270,2400 Block Of Funston  Avenue,West of Twin Peaks
M152932,500 Block Of Scott  Street,Hayes Valley
M152885,100 Block Of Holloway  Avenue,Oceanview/Merced/Ingleside
M152934,1300 Block Of Market  Street,Tenderloin
M152911,1200 Block Of Lane  Street,Bayview Hunters Point
M152881,3500 Block Of Pierce  Street,Marina
M152914,500 Block Of Mason  Street,Nob Hill
M152912,1000 Block Of Eddy  Street,Western Addition
M152915,2300 Block Of 24th  Avenue,Sunset/Parkside
M152916,0 Block Of Roosevelt  Way,Castro/Upper Market
M152913,1400 Block Of Franklin  Street,Western Addition
M152880,2000 Block Of 20th  Avenue,Sunset/Parkside
M152910,1700 Block Of Mcallister  Street,Western Addition
M152879,2300 Block Of 33rd  Avenue,Sunset/Parkside
M152909,0 Block Of Calgary  Street,Visitacion Valley
M152906,600 Block Of Burnett  Avenue,Twin Peaks
M152908,1800 Block Of Pacific  Avenue,Pacific Heights
